formula,c_11,c_12,c_13,c_22,c_23,c_33
Ag2As2,41.523199992024,8.408634266646,0.0,41.523199992024,-0.0,3.081215040834
Ag2Br2,13.692150026568001,7.314170460066,0.0,13.692150026568001,-0.0,4.927713989703
Ag2Cl2,9.047953230399001,7.583377695471,0.0,9.047953230399001,-0.0,4.3972535777760005
Ag2F2,29.584745437473,32.801546872338,-0.0,29.584745437473,-0.0,-0.759842243964
Ag2I2,18.875496079587,2.988393194331,0.0,18.875496079587,0.0,1.8038813585490001
Ag2N2,94.416479167008,48.417844362552,0.0,94.416479167008,-0.0,-12.183413850636
Ag2O2,104.87070266006101,49.232299578939,0.0,104.87070266006101,0.0,12.471799001685001
Ag2P2,49.73298278659501,8.948885702556002,-0.0,49.73298278659501,0.0,1.362623971878
Ag2S2,58.120565433195004,31.868809473162,-0.0,58.120565433195004,0.0,0.910932623439
Ag2Se2,53.27509237101901,25.429530381273,-0.0,53.27509237101901,-0.0,-5.239924578099
Ag2Te2,40.613112372531,22.930853712951002,-0.0,40.613112372531,-0.0,-15.131210116257
Al2As2,63.77220899915701,11.987721958533001,0.0,63.77220899915701,0.0,18.568851495444
Al2Br2,12.173163585378,-0.250157907318,0.0,12.173163585378,0.0,2.404238292531
Al2Cl2,20.202170644458,8.642406445272,-0.0,20.202170644458,0.0,2.338897443924
Al2F2,18.52560933699,26.031926346516002,0.0,18.52560933699,0.0,-0.163251088437
Al2I2,-10.233401918382,18.294004777182,-0.0,-10.233401918382,0.0,2.025456088911
Al2N2,89.480847857724,59.137619530461,0.0,89.480847857724,0.0,105.142279580445
Al2O2,62.303224747989006,52.70326350504,-0.0,62.303224747989006,-0.0,22.717784131002
Al2P2,60.412399831257005,20.041270871349003,-0.0,60.412399831257005,0.0,27.427927974261003
Al2S2,-78.93615383349601,124.13385348470099,0.0,-78.93615383349601,0.0,7.875785800089
Al2Se2,21.462457290615,16.770187117779003,0.0,21.462457290615,0.0,9.450028151487
Al2Te2,30.259977068931004,5.855601801015,0.0,30.259977068931004,0.0,1.5689151526080003
As2Au2,47.847503438303995,6.298677783135,-0.0,47.847503438303995,0.0,-3.1819542069180002
As2Ir2,57.711565153680006,55.201003321161004,0.0,57.711565153680006,-0.0,57.65902795182
As2Os2,120.589466063553,42.713369680314,0.0,120.589466063553,0.0,11.462368309584
As2Pb2,21.672055008525003,18.247382602944,0.0,21.672055008525003,0.0,7.769003018826
As2Pd2,43.20885427673701,15.060486959907,0.0,43.20885427673701,-0.0,6.330843042036
As2Pt2,56.760311146296004,28.199949296838003,0.0,56.760311146296004,0.0,-15.472150838816999
As2Rh2,65.664650445177,44.81933994955801,0.0,65.664650445177,-0.0,53.60817088295101
As2Ru2,21.432202475418002,108.275278667448,0.0,21.432202475418002,-0.0,6.670736694488999
As2W2,79.268791473804,98.608341676953,0.0,79.268791473804,0.0,39.047467017801004
Au2Br2,1.918875373809,8.619940362099001,0.0,1.918875373809,0.0,-2.9353416422430003
Au2Cl2,41.409804136401,34.315867422174,0.0,41.409804136401,-0.0,0.680503721295
Au2F2,24.626096955486002,66.267762826809,-0.0,24.626096955486002,0.0,-8.72319617037
Au2I2,32.106604605357,13.823456291916,-0.0,32.106604605357,0.0,6.924017442477001
Au2N2,63.820649768844,76.936947975864,-0.0,63.820649768844,-0.0,21.710521057719
Au2O2,100.67562546119099,81.489884345865,0.0,100.67562546119099,0.0,3.3806036128319996
Au2S2,54.577408778664,62.926966247694,0.0,54.577408778664,0.0,3.640993415757
Au2Se2,54.831589639551,46.120627656747004,0.0,54.831589639551,-0.0,0.9851827527810001
Bi2As2,-10.768197567945,67.446580070781,0.0,-10.768197567945,0.0,3.871697862666
Bi2Br2,29.250123874857003,11.615222175555001,-0.0,29.250123874857003,0.0,-0.753835368087
Bi2Cl2,17.619232386999002,16.350771246147,0.0,17.619232386999002,0.0,-11.761371118911
Bi2F2,48.871923765621005,30.419278682403004,0.0,48.871923765621005,-0.0,-21.706296037989002
Bi2I2,26.287778845644002,13.517179100793001,-0.0,26.287778845644002,-0.0,-3.9692958184290004
Bi2N2,-501.100511017767,611.642108638038,0.0,-501.100511017767,-0.0,16.398146576076
Bi2O2,49.91364830418001,42.765080247879,0.0,49.91364830418001,0.0,-5.98997579808
Bi2P2,-13.061281102275002,49.434806611563005,0.0,-13.061281102275002,0.0,7.6543212876330005
Bi2S2,25.78272366105,36.196148159232,0.0,25.78272366105,0.0,-4.595223306603001
Bi2Se2,14.654885065827,39.857237973183004,-0.0,14.654885065827,0.0,-11.239966944927
Bi2Te2,9.672796909164,36.775747387584,0.0,9.672796909164,0.0,0.402515792712
Ca2As2,13.355562911295,10.91928794742,0.0,13.355562911295,0.0,-2.079701668314
Ca2Br2,11.898684260136001,1.8864345701429999,0.0,11.898684260136001,0.0,2.9833231706550003
Ca2Cl2,18.043736651958003,1.711390165764,0.0,18.043736651958003,-0.0,3.631661633049
Ca2F2,40.4720150832,18.555900891489003,-0.0,40.4720150832,0.0,3.879174310623
Ca2I2,10.278517781238001,11.640737620794,-0.0,10.278517781238001,0.0,13.510970158755
Ca2N2,45.700789283142,30.42436707573,0.0,45.700789283142,0.0,15.942854776041
Ca2O2,63.953223540111,2.9648249320980002,0.0,63.953223540111,-0.0,34.288625229741
Ca2P2,15.185492434962,13.793789305551002,0.0,15.185492434962,0.0,0.133639211025
Ca2S2,11.046387562689,19.502139984150002,0.0,11.046387562689,-0.0,16.911192558855003
Ca2Se2,9.106166654418,14.782645988532002,0.0,9.106166654418,-0.0,13.989187283238001
Ca2Te2,7.5709230720930005,9.374069644602,0.0,7.5709230720930005,0.0,9.953870939115001
Cd2As2,20.322179574440998,31.516387718727003,0.0,20.322179574440998,0.0,17.339627929128
Cd2Br2,1.6665131083710003,37.638551525403,0.0,1.6665131083710003,0.0,2.841215550519
Cd2Cl2,22.07756505435,20.77405461939,-0.0,22.07756505435,0.0,2.887488701388
Cd2F2,12.583468110114001,9.928888213755,-0.0,12.583468110114001,-0.0,1.567280253669
Cd2I2,23.635789070076,12.79133908083,0.0,23.635789070076,0.0,1.396203693906
Cd2N2,77.350889691498,38.454733488984004,0.0,77.350889691498,0.0,20.131263791598002
Cd2O2,43.784687726634,17.453538134979002,0.0,43.784687726634,0.0,20.094267314484
Cd2P2,30.445161520662,7.9950599440320005,0.0,30.445161520662,-0.0,8.503421665806
Cd2S2,24.859207826676,7.178418739175999,0.0,24.859207826676,0.0,9.901737869577001
Cd2Se2,27.823959280170005,5.494197287241,0.0,27.823959280170005,-0.0,7.661834474892001
Cd2Te2,29.526752449266002,3.010859277504,0.0,29.526752449266002,-0.0,4.014099397218001
Co2As2,3.805309943952,67.891639975209,0.0,3.805309943952,0.0,35.767933224771
Co2Br2,40.072162889883,15.447315070665,-0.0,40.072162889883,0.0,9.217303042968
Co2Cl2,24.898959751440003,34.128092849652,-0.0,24.898959751440003,-0.0,10.983361290108
Co2F2,29.182523559177,30.437336049336,-0.0,29.182523559177,0.0,26.050442954724
Co2I2,42.484649155713,1.5829128266700003,0.0,42.484649155713,0.0,-1.207694335344
Co2N2,126.72019012759502,46.864139280972005,-0.0,126.72019012759502,0.0,68.747390167044
Co2O2,58.860843998844004,32.009520999822,0.0,58.860843998844004,-0.0,28.553712035796003
Co2P2,77.649763913268,43.145681046948,-0.0,77.649763913268,-0.0,58.659090121911
Co2S2,82.979442606153,32.532045722517005,0.0,82.979442606153,-0.0,50.55392248978501
Co2Se2,27.363450499251,1.342784748798,0.0,27.363450499251,0.0,3.9278171464710003
Co2Te2,-52.39154889722101,59.196126868896,-0.0,-52.39154889722101,0.0,20.544911592816
Cr2As2,25.415036726634,15.705004534893,0.0,25.415036726634,0.0,21.168836789031
Cr2Br2,5.6644839520109995,4.6684998444420005,0.0,5.6644839520109995,0.0,2.400564362331
Cr2Cl2,7.027456947258,-3.576001590519,0.0,7.027456947258,0.0,-0.7740970931400001
Cr2F2,-0.436885409733,74.06016878100901,0.0,-0.436885409733,-0.0,4.139031393669001
Cr2I2,11.237046170418,4.207366495389,0.0,11.237046170418,0.0,2.5582310768639998
Cr2N2,152.893930179831,49.444597635546,-0.0,152.893930179831,0.0,-0.348545758074
Cr2O2,150.898637057862,32.119830754077,0.0,150.898637057862,0.0,40.432832617617
Cr2P2,36.680996727726004,17.027178535269,0.0,36.680996727726004,0.0,27.448906115703
Cr2S2,33.338895903390004,19.983020708028,0.0,33.338895903390004,-0.0,12.345434172456
Cr2Se2,32.663609162979,8.875149923442,-0.0,32.663609162979,0.0,6.323880944307
Cr2Te2,5.877333098148,-1.6195970197170002,0.0,5.877333098148,-0.0,7.066841479002
Cu2As2,36.343013518977,31.462013551767004,0.0,36.343013518977,-0.0,16.938453120939002
Cu2Br2,34.197475021479,6.220680244989,0.0,34.197475021479,0.0,5.1067997173020006
Cu2Cl2,31.582977703602005,9.257642796564001,0.0,31.582977703602005,-0.0,9.068894632539
Cu2F2,41.79169081104,56.276234103144,0.0,41.79169081104,0.0,-4.582015527534001
Cu2I2,39.393275697876,-1.251230408214,0.0,39.393275697876,0.0,-1.185889559607
Cu2N2,115.86389171345401,54.26512471166401,0.0,115.86389171345401,0.0,-4.353827722812
Cu2O2,131.565975473838,66.376051919454,0.0,131.565975473838,-0.0,27.971853340371002
Cu2P2,47.394232299879,9.754505116812,0.0,47.394232299879,0.0,-3.8042996131470006
Cu2S2,44.635110719679005,19.584491129583,0.0,44.635110719679005,0.0,19.101736701303
Cu2Se2,30.09408075075,24.329886333111002,0.0,30.09408075075,0.0,17.267380091745
Cu2Te2,39.286768461378,25.781198980017002,0.0,39.286768461378,-0.0,11.568765328176001
Fe2As2,13.812250804806002,22.004619170229,0.0,13.812250804806002,0.0,7.637733492780001
Fe2Br2,0.7063498202520001,-6.611788484430001,-0.0,0.7063498202520001,-0.0,-3.322794321135
Fe2Cl2,48.38953673036101,38.024865285933004,0.0,48.38953673036101,0.0,42.480075112614
Fe2F2,21.944403454251,33.795822602364005,0.0,21.944403454251,-0.0,37.417013534343
Fe2I2,25.108520730048,4.671806381622001,0.0,25.108520730048,-0.0,3.564300122832
Fe2N2,139.255933884411,18.60790537347,-0.0,139.255933884411,0.0,56.101024371906
Fe2O2,5.581104106122001,68.031653455131,0.0,5.581104106122001,0.0,23.382104189766004
Fe2P2,-0.236307190464,11.611199221986,0.0,-0.236307190464,-0.0,29.213182506696
Fe2S2,27.796864044945004,12.138610271847002,-0.0,27.796864044945004,-0.0,10.114440058506
Fe2Se2,28.890354260022,8.715719722413,0.0,28.890354260022,0.0,6.9223458042359995
Fe2Te2,24.399746115864,2.727599259084,-0.0,24.399746115864,0.0,2.4299190646290003
Ga2As2,26.147820474675,45.676449495567006,0.0,26.147820474675,0.0,9.772213460376001
Ga2Br2,-7.04898617823,13.975226348478,-0.0,-7.04898617823,0.0,2.293175382585
Ga2Cl2,9.846959570295,-1.75154622285,0.0,9.846959570295,-0.0,2.831020394214
Ga2F2,27.125287974036002,18.799849856769,0.0,27.125287974036002,0.0,4.060868528664001
Ga2I2,-2.853651804246,6.539430429141,0.0,-2.853651804246,0.0,1.606848481923
Ga2N2,70.848914980746,36.756146969967,0.0,70.848914980746,0.0,69.246015973788
Ga2O2,66.113531237013,62.905363538118,0.0,66.113531237013,0.0,18.644314021752
Ga2P2,-21.973500981435,83.490082164651,0.0,-21.973500981435,0.0,15.067008186012
Ga2S2,30.913661099766,13.906762659201,-0.0,30.913661099766,0.0,17.650093400679
Ga2Se2,-214.978060100343,254.11895516313,0.0,-214.978060100343,0.0,10.107073828455
Ga2Te2,19.813781113365003,13.975703959404001,0.0,19.813781113365003,0.0,-5.596828527378
Ge2As2,-1011.999981707766,1045.118056036485,0.0,-1011.999981707766,0.0,-25.585911220236003
Ge2Br2,21.982667437284,8.996518207599,0.0,21.982667437284,0.0,3.4341144061950004
Ge2Cl2,-80.669109969534,100.64695043598,0.0,-80.669109969534,0.0,-6.8424378223860005
Ge2F2,16.585572125229,41.428394223213,0.0,16.585572125229,0.0,8.581915184529
Ge2I2,19.128666609669,9.435607975452001,-0.0,19.128666609669,-0.0,-10.073641063635002
Ge2N2,83.019139421964,59.352581186463,0.0,83.019139421964,0.0,19.007169737955
Ge2O2,50.184306742014,38.476630112976004,0.0,50.184306742014,0.0,3.0928246602660003
Ge2P2,-240.897968315061,313.938235702899,0.0,-240.897968315061,0.0,-13.761771003858001
Ge2S2,0.22433017801200003,37.61277890505,0.0,0.22433017801200003,0.0,5.168595223266
Ge2Se2,-15.349662005949,57.407326993818,0.0,-15.349662005949,0.0,-0.623723130054
Ge2Te2,4.596435703569,27.294729634860005,0.0,4.596435703569,0.0,2.015187454002
Hf2As2,30.869720894574,33.05104347222,0.0,30.869720894574,0.0,13.642111097244
Hf2Br2,39.76276285809,78.618083326431,-0.0,39.76276285809,0.0,25.58561730582
Hf2Cl2,40.063051542987004,84.40156587762,0.0,40.063051542987004,0.0,29.565512412876
Hf2F2,41.539255066998,85.19899242753,0.0,41.539255066998,0.0,49.151932355814
Hf2I2,45.664417374162,67.467888865941,0.0,45.664417374162,-0.0,20.465738397006
Hf2N2,80.73601223847601,116.755444355088,-0.0,80.73601223847601,0.0,52.332876231927
Hf2O2,106.36117940289901,37.055149779294005,0.0,106.36117940289901,0.0,31.304328467583
Hf2P2,49.198462681797004,33.26062282047901,0.0,49.198462681797004,0.0,20.090189251962002
Hf2S2,-42.367248716172,108.604591400925,0.0,-42.367248716172,0.0,25.503633553407003
Hf2Se2,62.750268574725006,18.744428619702,-0.0,62.750268574725006,0.0,9.419387573619
Hf2Te2,6.303858024717,-16.927927310916,-0.0,6.303858024717,0.0,-6.206113111746
Hg2As2,49.453800830697,10.791196370997001,0.0,49.453800830697,0.0,-3.741181492311
Hg2Br2,17.531094801501002,24.967386701415002,-0.0,17.531094801501002,0.0,4.745211507018
Hg2Cl2,-15.881316445191,60.626075611689004,0.0,-15.881316445191,0.0,3.303010207008
Hg2F2,19.604440570569,10.920408496131,0.0,19.604440570569,-0.0,1.0833501677250001
Hg2I2,21.952724906154,17.88395742756,0.0,21.952724906154,0.0,0.798987970245
Hg2N2,79.559987181456,72.054055934601,0.0,79.559987181456,-0.0,16.621999143162
Hg2O2,73.547784105666,64.642673281443,0.0,73.547784105666,0.0,8.413465484859
Hg2P2,58.295811903735,15.186925267740001,-0.0,58.295811903735,-0.0,3.6340496876790005
Hg2S2,24.912810468294005,6.069314320749001,0.0,24.912810468294005,0.0,4.731195463305
Hg2Se2,29.033821234332002,3.8756840769329997,-0.0,29.033821234332002,0.0,3.629696080392
Hg2Te2,24.700861435056,7.563777277854001,0.0,24.700861435056,0.0,1.462830418083
In2As2,5.61211207701,34.507811905473005,0.0,5.61211207701,0.0,12.417755488443001
In2Br2,-8.647219293834,14.992849904925002,0.0,-8.647219293834,0.0,1.749176537871
In2Cl2,10.013351869053,-2.24146481502,-0.0,10.013351869053,0.0,2.168225016483
In2F2,26.928328576014,16.061485982199,0.0,26.928328576014,0.0,3.239983934427
In2I2,-2.4519810154800004,5.955367375596,0.0,-2.4519810154800004,0.0,1.298532259539
In2N2,66.129347506524,32.405515566429,0.0,66.129347506524,0.0,47.485805010114
In2O2,73.624312071732,44.549673472878,0.0,73.624312071732,-0.0,20.114933171859
In2P2,26.98887494571,23.354457865011,0.0,26.98887494571,0.0,15.715126212594
In2S2,27.65495849097,-7.525035683895,0.0,27.65495849097,-0.0,8.947673305590001
In2Se2,28.915557421194002,-1.266367000638,0.0,28.915557421194002,0.0,8.046733772295
In2Te2,-284.40187592616,310.247313575724,0.0,-284.40187592616,0.0,5.689411568418
Ir2Br2,124.97707557455401,62.623371025617004,0.0,124.97707557455401,0.0,-18.653406998997003
Ir2Cl2,88.810888316103,45.684642359913006,0.0,88.810888316103,-0.0,-5.815372265325
Ir2F2,121.169506163529,104.240458303902,0.0,121.169506163529,-0.0,63.100871733711
Ir2I2,33.685659805317,-13.060803491349002,0.0,33.685659805317,0.0,36.531761683002
Ir2N2,106.100146662189,141.628631486175,0.0,106.100146662189,0.0,103.375725352728
Ir2O2,77.603545871352,122.235717446871,0.0,77.603545871352,-0.0,-25.261503183576
Ir2S2,112.83728964504301,85.15551146361301,0.0,112.83728964504301,0.0,68.193563559045
Ir2Se2,102.66120103778101,60.151367090547005,0.0,102.66120103778101,0.0,59.889379127985
Mg2As2,8.995562985747,5.09794554552,0.0,8.995562985747,0.0,0.43710584554500004
Mg2Br2,9.655235522808,-0.427884280743,0.0,9.655235522808,-0.0,0.612536012595
Mg2Cl2,24.372412075176005,11.666620459053,0.0,24.372412075176005,0.0,0.017451168450000002
Mg2I2,21.319045425258,9.693958747116,0.0,21.319045425258,0.0,3.606770755944
Mg2N2,58.463820731781006,26.056853962923,0.0,58.463820731781006,0.0,25.574264861502
Mg2O2,60.461997888957,23.700872743568997,0.0,60.461997888957,0.0,56.954900859339006
Mg2P2,20.969397488124002,8.031340004757,-0.0,20.969397488124002,0.0,-1.527179305536
Mg2S2,23.765772720552,13.000367339559,0.0,23.765772720552,0.0,21.983659398438
Mg2Se2,23.262407543850003,10.067817884268,0.0,23.262407543850003,0.0,16.992698700342
Mg2Te2,22.969999439232,6.565294897749,-0.0,22.969999439232,0.0,10.560436815135
Mn2As2,21.215936574195002,2.349147709182,0.0,21.215936574195002,0.0,7.056407517234001
Mn2Br2,0.085198441338,0.6088069734420001,0.0,0.085198441338,0.0,-3.892565786202
Mn2Cl2,21.569533986294,19.430553454203,0.0,21.569533986294,0.0,25.220520492195
Mn2F2,37.205487003078005,28.749642733362002,0.0,37.205487003078005,-0.0,-0.509868033156
Mn2I2,-5.978017155279001,15.295820558868002,0.0,-5.978017155279001,0.0,-3.637521551718
Mn2N2,158.91823885563002,37.983643789089,0.0,158.91823885563002,0.0,57.24394731782401
Mn2O2,59.48184842055,24.889940252799,-0.0,59.48184842055,0.0,34.018940383410005
Mn2P2,38.053889334513,9.642872747685,0.0,38.053889334513,0.0,13.082975660106001
Mn2S2,19.082283240894,11.783488178715,0.0,19.082283240894,-0.0,15.846009975969
Mn2Se2,13.449872699529001,3.540456315834,-0.0,13.449872699529001,-0.0,12.451849560699
Mn2Te2,22.770247854258,5.990949389583001,-0.0,22.770247854258,0.0,7.905269089944
Mo2As2,47.056469526942,70.598701964475,-0.0,47.056469526942,-0.0,31.181858004366003
Mo2Br2,7.458739613436,0.8166044655540001,-0.0,7.458739613436,-0.0,-0.7362372424290001
Mo2Cl2,29.162169985869003,23.154118451205,0.0,29.162169985869003,0.0,-0.19567352245199998
Mo2F2,5.192898271539,63.51367453098301,-0.0,5.192898271539,-0.0,5.559611614452
Mo2I2,5.986356976833,6.500009158095001,0.0,5.986356976833,0.0,3.2377795763069996
Mo2N2,130.901324761356,91.09948965558901,-0.0,130.901324761356,0.0,60.89061695574
Mo2O2,144.854783073399,29.571592767357004,0.0,144.854783073399,0.0,29.107465165191
Mo2P2,42.391147632123,20.460172392753,0.0,42.391147632123,0.0,32.922621242079
Mo2S2,44.937732350253,24.309606238407003,0.0,44.937732350253,-0.0,12.989933377791
Mo2Se2,20.173954860522,36.630204642711,0.0,20.173954860522,0.0,8.092235397822
Nb2As2,63.127709793822,8.400331184394,-0.0,63.127709793822,0.0,-3.633682294659
Nb2Br2,54.39492466563,96.141168960096,0.0,54.39492466563,0.0,24.437495748669
Nb2Cl2,48.972258799383,105.02770806715802,0.0,48.972258799383,0.0,25.418012610096
Nb2F2,18.89410453605,108.20876216117699,0.0,18.89410453605,0.0,-0.9719014951080001
Nb2I2,56.64318625152,80.521399605843,-0.0,56.64318625152,0.0,32.191307066118
Nb2N2,122.614573129095,12.821318351262,0.0,122.614573129095,0.0,49.21978984660801
Nb2O2,56.261703709203005,109.706329589301,0.0,56.261703709203005,-0.0,90.318503943324
Nb2P2,-12.254596248261,99.59749227434999,-0.0,-12.254596248261,0.0,9.083112742413
Nb2S2,-14.636974656102,38.457139913264996,0.0,-14.636974656102,-0.0,42.334477258788
Nb2Se2,75.40174113284101,73.546718665908,0.0,75.40174113284101,0.0,-32.993215810872
Nb2Te2,73.390209239388,59.108411785371004,0.0,73.390209239388,0.0,-31.091405842842
Ni2As2,57.817613148903,17.743833729732,0.0,57.817613148903,0.0,-27.582086085453
Ni2Br2,15.976305910512,28.087141270047,-0.0,15.976305910512,0.0,7.651051489755001
